group_id,dataset_id
1,57
1,56
1,58
1,1
1,2
1,3
1,4
1,5
1,6
1,20
1,21
1,23
1,22
1,24
1,25
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
2,35
2,36
2,37
2,55
2,53
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,50
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,54
2,52
2,51
3,35
3,36
3,37
3,55
3,57
3,53
3,56
3,58
3,1
3,26
3,27
3,28
3,29
3,2
3,3
3,4
3,5
3,6
3,20
3,21
3,23
3,22
3,24
3,25
3,30
3,31
3,32
3,33
3,34
3,50
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,47
3,48
3,49
3,54
3,52
3,51
4,35
4,36
4,37
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,38
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,50
4,47
4,48
4,49
5,35
5,36
5,37
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,38
5,39
5,40
5,41
5,42
5,43
5,44
5,45
5,46
5,50
5,47
5,48
5,49
5,60
5,1
5,2
5,3
5,4
5,5
5,6
5,20
5,21
5,23
5,22
5,24
5,25
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
