id,column_name,column_position,column_type,column_precision,string_length,is_nullable
1,cc_call_center_sk,1,integer,32,-1,true
1,cc_call_center_id,2,string,-1,16,true
2,cp_catalog_page_sk,1,integer,32,-1,true
2,cp_catalog_page_id,2,string,-1,16,true
3,cr_item_sk,3,integer,32,-1,true
3,cr_order_number,17,integer,32,-1,true
4,cs_item_sk,16,integer,32,-1,true
4,cs_order_number,18,integer,32,-1,true
1,cc_rec_start_date,3,date,-1,-1,true
1,cc_rec_end_date,4,date,-1,-1,true
1,cc_closed_date_sk,5,integer,32,-1,true
1,cc_open_date_sk,6,integer,32,-1,true
1,cc_name,7,string,-1,50,true
1,cc_class,8,string,-1,50,true
1,cc_employees,9,integer,32,-1,true
1,cc_sq_ft,10,integer,32,-1,true
1,cc_hours,11,string,-1,20,true
1,cc_manager,12,string,-1,40,true
1,cc_mkt_id,13,integer,32,-1,true
1,cc_mkt_class,14,string,-1,50,true
1,cc_mkt_desc,15,string,-1,100,true
1,cc_market_manager,16,string,-1,40,true
1,cc_division,17,integer,32,-1,true
1,cc_division_name,18,string,-1,50,true
1,cc_company,19,integer,32,-1,true
1,cc_company_name,20,string,-1,50,true
1,cc_street_number,21,string,-1,10,true
1,cc_street_name,22,string,-1,60,true
1,cc_street_type,23,string,-1,15,true
1,cc_suite_number,24,string,-1,10,true
1,cc_city,25,string,-1,60,true
1,cc_county,26,string,-1,30,true
1,cc_state,27,string,-1,2,true
1,cc_zip,28,string,-1,10,true
5,c_customer_sk,1,integer,32,-1,true
5,c_customer_id,2,string,-1,16,true
6,ca_address_sk,1,integer,32,-1,true
6,ca_address_id,2,string,-1,16,true
7,cd_demo_sk,1,integer,32,-1,true
8,d_date_sk,1,integer,32,-1,true
8,d_date_id,2,string,-1,16,true
10,hd_demo_sk,1,integer,32,-1,true
11,ib_income_band_sk,1,integer,32,-1,true
12,inv_date_sk,1,integer,32,-1,true
12,inv_item_sk,2,integer,32,-1,true
12,inv_warehouse_sk,3,integer,32,-1,true
1,cc_country,29,string,-1,20,true
13,i_item_sk,1,integer,32,-1,true
13,i_item_id,2,string,-1,16,true
14,p_promo_sk,1,integer,32,-1,true
2,cp_start_date_sk,3,integer,32,-1,true
2,cp_end_date_sk,4,integer,32,-1,true
14,p_promo_id,2,string,-1,16,true
15,r_reason_sk,1,integer,32,-1,true
15,r_reason_id,2,string,-1,16,true
16,sm_ship_mode_sk,1,integer,32,-1,true
16,sm_ship_mode_id,2,string,-1,16,true
17,s_store_sk,1,integer,32,-1,true
17,s_store_id,2,string,-1,16,true
18,sr_item_sk,3,integer,32,-1,true
18,sr_ticket_number,10,integer,32,-1,true
2,cp_department,5,string,-1,50,true
2,cp_catalog_number,6,integer,32,-1,true
2,cp_catalog_page_number,7,integer,32,-1,true
2,cp_description,8,string,-1,100,true
2,cp_type,9,string,-1,100,true
3,cr_returned_date_sk,1,integer,32,-1,true
3,cr_returned_time_sk,2,integer,32,-1,true
3,cr_refunded_customer_sk,4,integer,32,-1,true
3,cr_refunded_cdemo_sk,5,integer,32,-1,true
3,cr_refunded_hdemo_sk,6,integer,32,-1,true
12,inv_quantity_on_hand,4,integer,32,-1,true
19,ss_item_sk,3,integer,32,-1,true
19,ss_ticket_number,10,integer,32,-1,true
20,t_time_sk,1,integer,32,-1,true
20,t_time_id,2,string,-1,16,true
21,w_warehouse_sk,1,integer,32,-1,true
21,w_warehouse_id,2,string,-1,16,true
22,wp_web_page_sk,1,integer,32,-1,true
22,wp_web_page_id,2,string,-1,16,true
23,wr_item_sk,3,integer,32,-1,true
3,cr_refunded_addr_sk,7,integer,32,-1,true
3,cr_returning_customer_sk,8,integer,32,-1,true
3,cr_returning_cdemo_sk,9,integer,32,-1,true
3,cr_returning_hdemo_sk,10,integer,32,-1,true
3,cr_returning_addr_sk,11,integer,32,-1,true
3,cr_call_center_sk,12,integer,32,-1,true
3,cr_catalog_page_sk,13,integer,32,-1,true
3,cr_ship_mode_sk,14,integer,32,-1,true
3,cr_warehouse_sk,15,integer,32,-1,true
3,cr_reason_sk,16,integer,32,-1,true
3,cr_return_quantity,18,integer,32,-1,true
4,cs_sold_date_sk,1,integer,32,-1,true
23,wr_order_number,14,integer,32,-1,true
24,ws_item_sk,4,integer,32,-1,true
4,cs_sold_time_sk,2,integer,32,-1,true
4,cs_ship_date_sk,3,integer,32,-1,true
4,cs_bill_customer_sk,4,integer,32,-1,true
4,cs_bill_cdemo_sk,5,integer,32,-1,true
4,cs_bill_hdemo_sk,6,integer,32,-1,true
4,cs_bill_addr_sk,7,integer,32,-1,true
4,cs_ship_customer_sk,8,integer,32,-1,true
4,cs_ship_cdemo_sk,9,integer,32,-1,true
24,ws_order_number,18,integer,32,-1,true
25,web_site_sk,1,integer,32,-1,true
25,web_site_id,2,string,-1,16,true
4,cs_ship_hdemo_sk,10,integer,32,-1,true
4,cs_ship_addr_sk,11,integer,32,-1,true
4,cs_call_center_sk,12,integer,32,-1,true
4,cs_catalog_page_sk,13,integer,32,-1,true
4,cs_ship_mode_sk,14,integer,32,-1,true
4,cs_warehouse_sk,15,integer,32,-1,true
4,cs_promo_sk,17,integer,32,-1,true
4,cs_quantity,19,integer,32,-1,true
5,c_current_cdemo_sk,3,integer,32,-1,true
5,c_current_hdemo_sk,4,integer,32,-1,true
5,c_current_addr_sk,5,integer,32,-1,true
5,c_first_shipto_date_sk,6,integer,32,-1,true
5,c_first_sales_date_sk,7,integer,32,-1,true
5,c_salutation,8,string,-1,10,true
5,c_first_name,9,string,-1,20,true
5,c_last_name,10,string,-1,30,true
5,c_preferred_cust_flag,11,string,-1,1,true
5,c_birth_day,12,integer,32,-1,true
5,c_birth_month,13,integer,32,-1,true
5,c_birth_year,14,integer,32,-1,true
5,c_birth_country,15,string,-1,20,true
5,c_login,16,string,-1,13,true
5,c_email_address,17,string,-1,50,true
5,c_last_review_date_sk,18,integer,32,-1,true
6,ca_street_number,3,string,-1,10,true
6,ca_street_name,4,string,-1,60,true
6,ca_street_type,5,string,-1,15,true
6,ca_suite_number,6,string,-1,10,true
6,ca_city,7,string,-1,60,true
6,ca_county,8,string,-1,30,true
6,ca_state,9,string,-1,2,true
6,ca_zip,10,string,-1,10,true
6,ca_country,11,string,-1,20,true
6,ca_location_type,13,string,-1,20,true
7,cd_gender,2,string,-1,1,true
7,cd_marital_status,3,string,-1,1,true
7,cd_education_status,4,string,-1,20,true
7,cd_purchase_estimate,5,integer,32,-1,true
7,cd_credit_rating,6,string,-1,10,true
7,cd_dep_count,7,integer,32,-1,true
7,cd_dep_employed_count,8,integer,32,-1,true
7,cd_dep_college_count,9,integer,32,-1,true
8,d_date,3,date,-1,-1,true
8,d_month_seq,4,integer,32,-1,true
8,d_week_seq,5,integer,32,-1,true
8,d_quarter_seq,6,integer,32,-1,true
8,d_year,7,integer,32,-1,true
8,d_dow,8,integer,32,-1,true
8,d_moy,9,integer,32,-1,true
8,d_dom,10,integer,32,-1,true
8,d_qoy,11,integer,32,-1,true
8,d_fy_year,12,integer,32,-1,true
8,d_fy_quarter_seq,13,integer,32,-1,true
8,d_fy_week_seq,14,integer,32,-1,true
8,d_day_name,15,string,-1,9,true
8,d_quarter_name,16,string,-1,6,true
8,d_holiday,17,string,-1,1,true
8,d_weekend,18,string,-1,1,true
8,d_following_holiday,19,string,-1,1,true
8,d_first_dom,20,integer,32,-1,true
8,d_last_dom,21,integer,32,-1,true
8,d_same_day_ly,22,integer,32,-1,true
8,d_same_day_lq,23,integer,32,-1,true
8,d_current_day,24,string,-1,1,true
8,d_current_week,25,string,-1,1,true
8,d_current_month,26,string,-1,1,true
8,d_current_quarter,27,string,-1,1,true
8,d_current_year,28,string,-1,1,true
9,dv_version,1,string,-1,16,true
9,dv_create_date,2,date,-1,-1,true
9,dv_create_time,3,time without time zone,-1,-1,true
9,dv_cmdline_args,4,string,-1,200,true
10,hd_income_band_sk,2,integer,32,-1,true
10,hd_buy_potential,3,string,-1,15,true
10,hd_dep_count,4,integer,32,-1,true
10,hd_vehicle_count,5,integer,32,-1,true
11,ib_lower_bound,2,integer,32,-1,true
11,ib_upper_bound,3,integer,32,-1,true
4,cs_ext_tax,27,numeric,7,2,true
13,i_rec_start_date,3,date,-1,-1,true
13,i_rec_end_date,4,date,-1,-1,true
13,i_item_desc,5,string,-1,200,true
13,i_brand_id,8,integer,32,-1,true
13,i_brand,9,string,-1,50,true
13,i_class_id,10,integer,32,-1,true
13,i_class,11,string,-1,50,true
13,i_category_id,12,integer,32,-1,true
13,i_category,13,string,-1,50,true
13,i_manufact_id,14,integer,32,-1,true
13,i_manufact,15,string,-1,50,true
13,i_size,16,string,-1,20,true
13,i_formulation,17,string,-1,20,true
13,i_color,18,string,-1,20,true
13,i_units,19,string,-1,10,true
13,i_container,20,string,-1,10,true
13,i_manager_id,21,integer,32,-1,true
13,i_product_name,22,string,-1,50,true
14,p_start_date_sk,3,integer,32,-1,true
14,p_end_date_sk,4,integer,32,-1,true
14,p_item_sk,5,integer,32,-1,true
14,p_response_target,7,integer,32,-1,true
14,p_promo_name,8,string,-1,50,true
14,p_channel_dmail,9,string,-1,1,true
14,p_channel_email,10,string,-1,1,true
14,p_channel_catalog,11,string,-1,1,true
14,p_channel_tv,12,string,-1,1,true
14,p_channel_radio,13,string,-1,1,true
14,p_channel_press,14,string,-1,1,true
14,p_channel_event,15,string,-1,1,true
14,p_channel_demo,16,string,-1,1,true
14,p_channel_details,17,string,-1,100,true
14,p_purpose,18,string,-1,15,true
14,p_discount_active,19,string,-1,1,true
15,r_reason_desc,3,string,-1,100,true
16,sm_type,3,string,-1,30,true
16,sm_code,4,string,-1,10,true
16,sm_carrier,5,string,-1,20,true
16,sm_contract,6,string,-1,20,true
17,s_rec_start_date,3,date,-1,-1,true
17,s_rec_end_date,4,date,-1,-1,true
17,s_closed_date_sk,5,integer,32,-1,true
17,s_store_name,6,string,-1,50,true
17,s_number_employees,7,integer,32,-1,true
17,s_floor_space,8,integer,32,-1,true
17,s_hours,9,string,-1,20,true
17,s_manager,10,string,-1,40,true
17,s_market_id,11,integer,32,-1,true
17,s_geography_class,12,string,-1,100,true
17,s_market_desc,13,string,-1,100,true
17,s_market_manager,14,string,-1,40,true
17,s_division_id,15,integer,32,-1,true
17,s_division_name,16,string,-1,50,true
17,s_company_id,17,integer,32,-1,true
17,s_company_name,18,string,-1,50,true
17,s_street_number,19,string,-1,10,true
17,s_street_name,20,string,-1,60,true
17,s_street_type,21,string,-1,15,true
17,s_suite_number,22,string,-1,10,true
17,s_city,23,string,-1,60,true
17,s_county,24,string,-1,30,true
17,s_state,25,string,-1,2,true
17,s_zip,26,string,-1,10,true
17,s_country,27,string,-1,20,true
18,sr_returned_date_sk,1,integer,32,-1,true
18,sr_return_time_sk,2,integer,32,-1,true
18,sr_customer_sk,4,integer,32,-1,true
18,sr_cdemo_sk,5,integer,32,-1,true
18,sr_hdemo_sk,6,integer,32,-1,true
18,sr_addr_sk,7,integer,32,-1,true
18,sr_store_sk,8,integer,32,-1,true
18,sr_reason_sk,9,integer,32,-1,true
18,sr_return_quantity,11,integer,32,-1,true
19,ss_sold_date_sk,1,integer,32,-1,true
19,ss_sold_time_sk,2,integer,32,-1,true
19,ss_customer_sk,4,integer,32,-1,true
19,ss_cdemo_sk,5,integer,32,-1,true
19,ss_hdemo_sk,6,integer,32,-1,true
19,ss_addr_sk,7,integer,32,-1,true
19,ss_store_sk,8,integer,32,-1,true
19,ss_promo_sk,9,integer,32,-1,true
19,ss_quantity,11,integer,32,-1,true
20,t_time,3,integer,32,-1,true
20,t_hour,4,integer,32,-1,true
20,t_minute,5,integer,32,-1,true
20,t_second,6,integer,32,-1,true
20,t_am_pm,7,string,-1,2,true
20,t_shift,8,string,-1,20,true
20,t_sub_shift,9,string,-1,20,true
20,t_meal_time,10,string,-1,20,true
21,w_warehouse_name,3,string,-1,20,true
21,w_warehouse_sq_ft,4,integer,32,-1,true
21,w_street_number,5,string,-1,10,true
21,w_street_name,6,string,-1,60,true
21,w_street_type,7,string,-1,15,true
21,w_suite_number,8,string,-1,10,true
21,w_city,9,string,-1,60,true
21,w_county,10,string,-1,30,true
21,w_state,11,string,-1,2,true
21,w_zip,12,string,-1,10,true
21,w_country,13,string,-1,20,true
22,wp_rec_start_date,3,date,-1,-1,true
22,wp_rec_end_date,4,date,-1,-1,true
22,wp_creation_date_sk,5,integer,32,-1,true
22,wp_access_date_sk,6,integer,32,-1,true
22,wp_autogen_flag,7,string,-1,1,true
22,wp_customer_sk,8,integer,32,-1,true
22,wp_url,9,string,-1,100,true
22,wp_type,10,string,-1,50,true
22,wp_char_count,11,integer,32,-1,true
22,wp_link_count,12,integer,32,-1,true
22,wp_image_count,13,integer,32,-1,true
22,wp_max_ad_count,14,integer,32,-1,true
23,wr_returned_date_sk,1,integer,32,-1,true
23,wr_returned_time_sk,2,integer,32,-1,true
23,wr_refunded_customer_sk,4,integer,32,-1,true
23,wr_refunded_cdemo_sk,5,integer,32,-1,true
23,wr_refunded_hdemo_sk,6,integer,32,-1,true
23,wr_refunded_addr_sk,7,integer,32,-1,true
23,wr_returning_customer_sk,8,integer,32,-1,true
23,wr_returning_cdemo_sk,9,integer,32,-1,true
23,wr_returning_hdemo_sk,10,integer,32,-1,true
23,wr_returning_addr_sk,11,integer,32,-1,true
